ID,Event Name,Event location,"Date (Month Day, Year ""January 17, 2021"")",Submission deadline,Notification deadline,Notes:,Notes,"This appears to be a call to a journal, not to a conference",Notes ,Date
463,The Third International Conference on E-Technologies and Business on the Web (EBW2015),"ESG Management School, Paris, France","March 26-28, 2015",2015-02-28 00:00:00,"Feb 12, 2015 March 08, 2015",,,,,
464,"The Second International Conference on Electrical, Electronics, Computer Engineering and their Applications (EECEA2015)",Philippines,"Feb. 12-14, 2015",2015-01-12 00:00:00,,,,,,
465,The Global Technology Management Conference (GTMC2015),"Bemidji State University, Minnesota, USA","July 15 - 17, 2015",2015-06-25 00:00:00,"June 28-30, 2015",,,,,
466,The Society of Digital Information and Wireless Communications (SDIWC),"Universiti Tun Hussein Onn Malaysia, Malaysia","April 21- 23, 2015",2015-03-23 00:00:00,2015-03-05 00:00:00,,,,,
467,The Second International Conference on Informatics & Applications (ICIA2013) & The Second International Conference on E-Learning and E-Technologies in Education (ICEEE2013),"Lodz University of Technology, Poland","Sept. 23-25, 2013",,,,,,,
468,The Second International Conference on Informatics Engineering & Information Science (ICIEIS2013) ,"Universiti Teknologi Malaysia, Kuala Lumpur, Malaysia","Nov. 12-14, 2013",2013-10-25 00:00:00,2013-10-30 00:00:00,,,,,
469,The Second International Conference on Education Technologies and Computers (ICETC2015),"University of the Thai Chamber of Commerce,  Bangkok, Thailand","May 20-22, 2015",2015-04-20 00:00:00,"May 4-11, 2015",,,,,
470,2015 IEEE The Second International Conference on Education Technologies and Computers (ICETC2015),"University of the Thai Chamber of Commerce, Bangkok, Thailand","May 20-22, 2015",2015-05-01 00:00:00,2015-05-05 00:00:00,,,,,
471,The Third International Conference on Digital Information Processing and Communications(ICDIPC2013),"Dubai, UAE","Jan. 30, 2013 - Feb. 1, 2013. ",2013-01-05 00:00:00,2013-01-10 00:00:00,,,,,
472,The International Conference on E-Technologies and Business on the Web (EBW2013),"University of the Thai Chamber of Commerce, Bangkok, Thailand ","May 7-9, 2013",2013-03-30 00:00:00,2013-04-20 00:00:00,,,,,
473,"The Fifth International Conference on Digital Information and Communication Technology and its Applications (DICTAP2015) & The Third International Conference on Technological Advances in Electrical, Electronics and Computer Engineering (TAEECE2015)","Faculty of Engineering - Lebanese University, Lebanon","April 29 - May 01, 2015",2015-04-07 00:00:00,2015-04-12 00:00:00,,,,,
474,"International Conference on Social and Education Sciences (IConSES) & International Conference on Engineering, Science and Technology (IConEST) ","Holiday Inn & Suites Denver Tech Center-Centennial Denver, CO, USA.","October 7-10, 2019",2019-09-13 00:00:00,,,,,,
475,The 2015 International Conference on Health Informatics and Medical Systems,"Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015",2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,
476,"The 2015 International Conference on Image Processing, Computer Vision, and Pattern Recognition (IPCV'15)","Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015",2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,
477,The 2015 International Conference on Wireless Networks (ICWN'15),"Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015",2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,
478,The 2015 International Conference on Frontiers in Education: Computer Science and Computer Engineering (FECS'15),"Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015",2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,
479,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications (PDPTA'15),"Monte Carlo Resort, Las Vegas, USA","July 27-30, 2015",2015-05-31 00:00:00,2015-06-14 00:00:00,,,,,
60,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic",2013-07-08 00:00:00,2013-05-10 00:00:00,,,,,,
61,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic",2013-07-08 00:00:00,2013-05-10 00:00:00,2013-06-07 00:00:00,,,,,
62,3rd ICEEE2014,"Kuala Lumpur, Malaysia",2014-03-18 00:00:00,2014-02-18 00:00:00,2014-03-04 00:00:00,,,,,
63,The Fourth International Conference on Digital Information and Communication Technology and its Applications (DICTAP2014),"Bangkok, Thailand",2014-05-06 00:00:00,2014-04-06 00:00:00,2014-04-15 00:00:00,,,,,
64,BIOCOMP'19,"Las Vegas, USA",2019-07-19 00:00:00,2019-06-20 00:00:00,2019-06-27 00:00:00,,,,,
65,The 2015 International Conference on Parallel and Distributed Processing Techniques and Applications,"Las Vegas, USA",2015-07-27 00:00:00,2015-03-31 00:00:00,2015-04-24 00:00:00,,,,,
66,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic",2013-07-08 00:00:00,,,,,,,
67,The Second International Conference on Informatics & Applications (ICIA2013),"Lodz, Poland",2013-09-23 00:00:00,,,,,,,
68,The Third International Conference on Digital Information and Communication Technology and its Applications (DICTAP2013),"Ostrava, Czech Republic",2013-07-08 00:00:00,,,,,,,
69,"The International Conference on Digital Information Networking, and Wireless Communications (DINWC2014)","Ostrava, Czech Republic",2014-06-24 00:00:00,,,,,,,
70,"The International Conference on Digital Information Processing, E-Business and Cloud Computing (DIPECC 2013)","Dubai, UAE",2013-10-23 00:00:00,2013-09-01 00:00:00,2013-09-15 00:00:00,,,,,
71,"The International Conference on Digital Information Processing, E-Business and Cloud Computing (DIPECC2013)","Dubai, UAE",2013-10-23 00:00:00,2013-10-15 00:00:00,2013-10-18 00:00:00,,,,,
72,International Conference on Digital Security and Forensics (DigitalSec2014),"Ostrava, Czech Republic",2014-06-24 00:00:00,2014-05-25 00:00:00,2014-06-05 00:00:00,,,,,
73,The Second International Conference on E-Learning and E-Technologies in Education (ICEEE2013),"Lodz, Poland",2013-09-23 00:00:00,,,,,,,
74,The Second International Conference on e-Technologies and Networks for Development (ICeND 2013),Malaysia,2013-03-04 00:00:00,2012-12-15 00:00:00,2013-01-01 00:00:00,,,,,
75,The Second International Conference on Informatics Engineering & Information Science (ICIEIS2013),"Kuala Lumpur, Malaysia",2013-11-12 00:00:00,2013-10-12 00:00:00,2013-10-30 00:00:00,,,,,
76,The Second International Conference on Informatics Engineering & Information Science (ICIEIS2013),"Kuala Lumpur, Malaysia",2013-11-12 00:00:00,2013-10-12 00:00:00,2013-10-22 00:00:00,,,,,
77,The Second International Conference on Digital Information and Communication Technology and its Applications,"Bangkok, Thailand",2012-05-16 00:00:00,2012-03-10 00:00:00,2012-10-22 00:00:00,,,,,
78,CSCI-ISAI: International Symposium on ARTIFICIAL INTELLIGENCE,"Las Vegas, USA",2019-12-05 00:00:00,2019-10-21 00:00:00,2019-10-28 00:00:00,,,,,
79,CSCI-ISAI: Int'l Symp. on Symposium on ARTIFICIAL INTELLIGENCE,"Bangkok, Thailand",2012-05-16 00:00:00,2012-03-10 00:00:00,2012-04-01 00:00:00,,,,,
